temperature,air_quality,carbon_monoxide,smoke,status
34.5,239,455,465,Non-Fire
34.5,240,447,464,Non-Fire
34.44,237,439,429,Non-Fire
34.44,237,442,458,Non-Fire
34.38,245,449,463,Non-Fire
34.38,239,449,460,Non-Fire
34.31,239,443,464,Non-Fire
34.44,240,454,468,Non-Fire
34.44,240,445,463,Non-Fire
34.44,235,443,464,Non-Fire
34.44,240,444,458,Non-Fire
34.38,235,451,459,Non-Fire
34.44,239,449,447,Non-Fire
34.38,240,437,453,Non-Fire
34.38,240,448,460,Non-Fire
34.38,238,448,454,Non-Fire
34.38,235,448,454,Non-Fire
34.81,228,423,448,Non-Fire
34.63,304,429,443,Non-Fire
34.63,233,435,444,Non-Fire
34.56,175,422,437,Non-Fire
34.63,230,429,441,Non-Fire
34.69,225,432,443,Non-Fire
34.63,235,415,441,Non-Fire
34.63,231,429,436,Non-Fire
34.63,234,405,449,Non-Fire
34.56,237,432,434,Non-Fire
34.56,237,431,411,Non-Fire
34.56,259,432,448,Non-Fire
34.5,239,438,407,Non-Fire
34.5,239,433,400,Non-Fire
34.5,233,431,395,Non-Fire
34.5,231,435,398,Non-Fire
34.44,239,445,399,Non-Fire
34.44,253,449,415,Non-Fire
34.63,240,437,400,Non-Fire
34.56,240,442,327,Non-Fire
34.56,246,448,409,Non-Fire
34.56,242,446,406,Non-Fire
34.69,240,450,407,Non-Fire
34.75,240,448,400,Non-Fire
34.81,257,448,399,Non-Fire
34.75,235,435,394,Non-Fire
34.88,237,433,390,Non-Fire
34.75,228,422,380,Non-Fire
34.88,207,399,362,Non-Fire
34.94,225,430,382,Non-Fire
35.06,211,413,366,Non-Fire
